Region,Item Type,Sales Channel,Order Date,Units Sold,Total Profit,Year
Middle East and North Africa,Cosmetics,Online,2/6/10,7234,1257775.58,2010
Sub-Saharan Africa,Cereal,Offline,6/7/12,2117,187545.03,2012
Europe,Vegetables,Online,10/6/12,171,10795.23,2012
Asia,Clothes,Online,11/14/15,5930,435499.2,2015
Sub-Saharan Africa,Cereal,Offline,3/29/16,962,85223.58,2016
Europe,Cosmetics,Online,12/31/16,8867,1541705.29,2016
Europe,Personal Care,Online,12/23/10,273,6841.38,2010
Europe,Clothes,Offline,10/14/14,7842,575916.48,2014
Sub-Saharan Africa,Office Supplies,Offline,1/11/12,1266,159832.5,2012
Europe,Clothes,Online,2/2/10,2269,166635.36,2010
Sub-Saharan Africa,Fruits,Online,8/18/13,9606,23150.46,2013
Middle East and North Africa,Cereal,Online,3/25/13,4063,359941.17,2013
Sub-Saharan Africa,Office Supplies,Offline,11/26/11,3457,436446.25,2011
Sub-Saharan Africa,Fruits,Offline,9/17/13,7637,18405.17,2013
Sub-Saharan Africa,Clothes,Online,6/8/12,3482,255718.08,2012
Australia and Oceania,Clothes,Offline,6/30/10,9905,727423.2,2010
Europe,Cosmetics,Offline,2/23/15,2847,495007.89,2015
Europe,Household,Online,1/5/12,282,46735.86,2012
Sub-Saharan Africa,Cosmetics,Offline,4/7/14,7215,1254472.05,2014
Australia and Oceania,Cereal,Offline,6/9/13,682,60418.38,2013
Europe,Baby Food,Online,6/26/13,4750,455335,2013
Sub-Saharan Africa,Office Supplies,Online,11/7/11,5518,696647.5,2011
Middle East and North Africa,Clothes,Offline,10/30/10,6116,449159.04,2010
Central America and the Caribbean,Cosmetics,Offline,10/13/13,1705,296448.35,2013
Sub-Saharan Africa,Cosmetics,Offline,10/11/13,4477,778415.99,2013
Sub-Saharan Africa,Personal Care,Offline,7/8/12,8656,216919.36,2012
Central America and the Caribbean,Clothes,Offline,7/25/16,5498,403773.12,2016
Europe,Office Supplies,Offline,10/24/10,8287,1046233.75,2010
Sub-Saharan Africa,Clothes,Offline,4/25/15,7342,539196.48,2015
Asia,Office Supplies,Online,4/23/13,5010,632512.5,2013
Middle East and North Africa,Fruits,Online,8/14/15,673,1621.93,2015
Sub-Saharan Africa,Beverages,Online,5/26/11,5741,89904.06,2011
Sub-Saharan Africa,Cereal,Online,5/20/17,8656,766835.04,2017
Middle East and North Africa,Cosmetics,Offline,7/5/13,9892,1719922.04,2013
North America,Household,Offline,11/6/14,6954,1152486.42,2014
Australia and Oceania,Beverages,Online,10/28/14,9379,146875.14,2014
Asia,Vegetables,Offline,9/15/11,3732,235601.16,2011
Europe,Baby Food,Offline,5/29/12,8614,825738.04,2012
Australia and Oceania,Cosmetics,Online,7/20/13,9654,1678540.98,2013
Europe,Household,Offline,10/21/12,4513,747939.49,2012
Middle East and North Africa,Clothes,Online,9/18/12,7884,579000.96,2012
Middle East and North Africa,Cosmetics,Online,11/15/16,6489,1128242.43,2016
Sub-Saharan Africa,Snacks,Online,1/4/11,4085,225246.9,2011
Sub-Saharan Africa,Vegetables,Online,3/18/12,6457,407630.41,2012
North America,Personal Care,Offline,2/17/12,6422,160935.32,2012
Sub-Saharan Africa,Beverages,Offline,1/16/11,8829,138262.14,2011
Sub-Saharan Africa,Baby Food,Offline,2/3/14,5559,532885.74,2014
Middle East and North Africa,Fruits,Online,4/30/12,522,1258.02,2012
Europe,Beverages,Offline,10/23/16,4660,72975.6,2016
Sub-Saharan Africa,Office Supplies,Offline,12/6/16,948,119685,2016
Australia and Oceania,Beverages,Offline,7/7/14,9389,147031.74,2014
Middle East and North Africa,Office Supplies,Online,6/13/12,2021,255151.25,2012
Europe,Cosmetics,Online,11/26/10,7910,1375311.7,2010
Central America and the Caribbean,Beverages,Offline,2/8/11,8156,127722.96,2011
Sub-Saharan Africa,Clothes,Online,7/26/11,888,65214.72,2011
Asia,Fruits,Offline,11/11/11,6267,15103.47,2011
Sub-Saharan Africa,Vegetables,Offline,6/1/16,1485,93748.05,2016
North America,Personal Care,Offline,7/30/15,5767,144521.02,2015
Sub-Saharan Africa,Household,Offline,2/10/12,5367,889472.91,2012
